instance,selector,sequence,selector_score,num_sequences,feasible_count,feasible_fraction,runtime_sec,mean,worst,prob_catastrophic,prob_degraded,prob_medium_harm,var01,cvar01,var05,cvar05,var10,cvar10,var25,cvar25,wowa_mild,wowa_balanced,wowa_severe,robust20,viol_catastrophic,viol_medium_harm,violation_score,feasible
diagnostic_cvar_blindspot,mean,mean_risky,24.499999999999996,4,2,0.5,0.002340555191040039,24.499999999999996,300.0,0.04999999999999999,0.04999999999999999,0.04999999999999999,300.0,300.0,10.0,299.9999999999999,10.0,154.99999999999994,10.0,67.99999999999999,29.467062685490895,37.73254811740655,60.04641912860892,82.49999999999997,0.04999999999999999,0.0,49999.999999999985,False
diagnostic_cvar_blindspot,null_pomdp_mean,mean_risky,24.499999999999996,4,2,0.5,0.002536296844482422,24.499999999999996,300.0,0.04999999999999999,0.04999999999999999,0.04999999999999999,300.0,300.0,10.0,299.9999999999999,10.0,154.99999999999994,10.0,67.99999999999999,29.467062685490895,37.73254811740655,60.04641912860892,82.49999999999997,0.04999999999999999,0.0,49999.999999999985,False
diagnostic_cvar_blindspot,replan_no_feedback,mean_risky,24.499999999999996,4,2,0.5,0.002724170684814453,24.499999999999996,300.0,0.04999999999999999,0.04999999999999999,0.04999999999999999,300.0,300.0,10.0,299.9999999999999,10.0,154.99999999999994,10.0,67.99999999999999,29.467062685490895,37.73254811740655,60.04641912860892,82.49999999999997,0.04999999999999999,0.0,49999.999999999985,False
diagnostic_cvar_blindspot,worst,tail_guard,78.0,4,2,0.5,0.0029168128967285156,45.3,78.0,0.0,0.4999999999999999,0.4999999999999999,78.0,78.0,72.0,77.99999999999997,72.0,74.99999999999997,72.0,73.19999999999999,49.803941414700695,55.710565554746736,65.64810831567556,73.49999999999999,0.0,0.0,0.0,True
diagnostic_cvar_blindspot,chance,rank_balanced,26.69999999999999,4,2,0.5,0.003110170364379883,26.69999999999999,82.0,0.0,0.04999999999999999,0.04999999999999999,82.0,82.0,28.0,81.99999999999997,28.0,54.99999999999998,28.0,38.79999999999999,28.27692719438656,30.66573819206478,36.22456841336001,41.499999999999986,0.0,0.0,0.0,True
diagnostic_cvar_blindspot,robust20,rank_balanced,41.499999999999986,4,2,0.5,0.003354310989379883,26.69999999999999,82.0,0.0,0.04999999999999999,0.04999999999999999,82.0,82.0,28.0,81.99999999999997,28.0,54.99999999999998,28.0,38.79999999999999,28.27692719438656,30.66573819206478,36.22456841336001,41.499999999999986,0.0,0.0,0.0,True
diagnostic_cvar_blindspot,cvar01,tail_guard,78.0,4,2,0.5,0.0035552978515625,45.3,78.0,0.0,0.4999999999999999,0.4999999999999999,78.0,78.0,72.0,77.99999999999997,72.0,74.99999999999997,72.0,73.19999999999999,49.803941414700695,55.710565554746736,65.64810831567556,73.49999999999999,0.0,0.0,0.0,True
diagnostic_cvar_blindspot,cvar05,tail_guard,77.99999999999997,4,2,0.5,0.0037622451782226562,45.3,78.0,0.0,0.4999999999999999,0.4999999999999999,78.0,78.0,72.0,77.99999999999997,72.0,74.99999999999997,72.0,73.19999999999999,49.803941414700695,55.710565554746736,65.64810831567556,73.49999999999999,0.0,0.0,0.0,True
diagnostic_cvar_blindspot,cvar10,rank_balanced,54.99999999999998,4,2,0.5,0.003965854644775391,26.69999999999999,82.0,0.0,0.04999999999999999,0.04999999999999999,82.0,82.0,28.0,81.99999999999997,28.0,54.99999999999998,28.0,38.79999999999999,28.27692719438656,30.66573819206478,36.22456841336001,41.499999999999986,0.0,0.0,0.0,True
diagnostic_cvar_blindspot,cvar25,rank_balanced,38.79999999999999,4,2,0.5,0.004164934158325195,26.69999999999999,82.0,0.0,0.04999999999999999,0.04999999999999999,82.0,82.0,28.0,81.99999999999997,28.0,54.99999999999998,28.0,38.79999999999999,28.27692719438656,30.66573819206478,36.22456841336001,41.499999999999986,0.0,0.0,0.0,True
