H,A,S,alpha,scenario_entropy,budget_scale,noise,regime,feasible_fraction,oracle_feasible,best_mean_or_least_violation_mean,least_violation
5,4,24,0.2,0.7424849898523593,0.0,0.2,stress_unobservable,0.0,True,162.41914174735714,0.9095243627481928
5,4,24,0.2,0.6055982169964337,0.0,0.2,stress_unobservable,0.0,True,133.8546116892592,0.7732875991591366
5,4,24,0.2,0.65842693220554,0.0,0.2,stress_unobservable,0.0,True,118.08664270838491,0.8935810249986652
5,4,24,0.2,0.6950767927224039,0.0,0.2,stress_unobservable,0.0,True,119.88841637775616,0.6884442659778806
5,4,24,0.2,0.6414640826085017,0.0,0.2,stress_unobservable,0.0,True,191.3894868631608,0.9049071505462749
5,4,24,0.2,0.6228952417314079,0.0,0.2,stress_unobservable,0.0,True,165.0060244663748,0.8226852880568235
5,4,24,0.2,0.7653953909788632,0.0,0.2,stress_unobservable,0.0,True,150.84943540147208,0.9418469715352518
5,4,24,0.2,0.5554844281874712,0.0,0.2,stress_unobservable,0.0,True,139.6563005741371,0.5833263838827198
5,4,24,0.2,0.5689288716834342,0.0,0.2,stress_unobservable,0.0,True,135.1606451962047,0.7829995152086635
5,4,24,0.2,0.6931824358275877,0.0,0.2,stress_unobservable,0.0,True,178.52584144932845,0.9679958437089511
5,4,24,0.2,0.5533554842102041,0.0,0.2,stress_unobservable,0.0,True,105.27458836953272,0.5264424916108496
5,4,24,0.2,0.3936266290974277,0.0,0.2,stress_unobservable,0.0,True,110.92069505887513,0.5484574591008163
5,4,24,0.2,0.6326158294849499,0.0,0.2,stress_unobservable,0.0,True,110.44843085826895,0.7312112564973897
5,4,24,0.2,0.6402129594523973,0.0,0.2,stress_unobservable,0.0,True,166.997226477312,0.9873508025803128
5,4,24,0.2,0.6415700494742098,0.0,0.2,stress_unobservable,0.0,True,117.38094337463696,0.8195175084844093
5,4,24,0.2,0.5443888023588291,0.0,0.2,stress_unobservable,0.0,True,129.56411359925855,0.7421275114742949
5,4,24,0.2,0.6916693194441532,0.0,0.2,stress_unobservable,0.0,True,166.54495801848466,0.8676293629998055
5,4,24,0.2,0.6821292960141955,0.0,0.2,stress_unobservable,0.0,True,159.40456824197872,0.7882619089079858
5,4,24,0.2,0.5015285320521573,0.0,0.2,stress_unobservable,0.0,True,131.63134081217964,0.8040558231180461
5,4,24,0.2,0.5043620402783959,0.0,0.2,stress_unobservable,0.0,True,115.62993011302672,0.5885695183839601
5,4,24,0.2,0.5034687490065981,0.0,0.2,stress_unobservable,0.0,True,118.15381772490974,0.4506720452060706
5,4,24,0.2,0.6597872526284224,0.0,0.2,stress_unobservable,0.0,True,161.67923608319077,0.9254492798545993
5,4,24,0.2,0.5098998116929938,0.0,0.2,stress_unobservable,0.0,True,86.1195253799888,0.44257164249385583
5,4,24,0.2,0.7095502003863015,0.0,0.2,stress_unobservable,0.0,True,144.51629998751218,0.8780020106446476
5,4,24,0.2,0.5268589855052298,0.0,0.2,stress_unobservable,0.0,True,113.84058422267941,0.7237651379628689
5,4,24,0.2,0.711179176555225,0.0,0.2,stress_unobservable,0.0,True,180.12581930184624,1.0500422378449725
5,4,24,0.2,0.5794245887038091,0.0,0.2,stress_unobservable,0.0,True,129.77652688564223,0.6839331997370343
5,4,24,0.2,0.49928272635257154,0.0,0.2,stress_unobservable,0.0,True,74.37654973203877,0.5796597712151843
5,4,24,0.2,0.7116026064475114,0.0,0.2,stress_unobservable,0.0,True,166.43248361376095,1.0140570926433654
5,4,24,0.2,0.6510353889845913,0.0,0.2,stress_unobservable,0.0,True,178.7215637661575,0.8289101400833243
5,4,24,0.2,0.42821839666676526,0.0,0.2,stress_unobservable,0.0,True,72.33933600641957,0.4627026382251467
5,4,24,0.2,0.6843451529320567,0.0,0.2,stress_unobservable,0.0,True,179.72031105315727,0.9486217396074448
5,4,24,0.2,0.6282248822149946,0.0,0.2,stress_unobservable,0.0,True,118.8660055180512,0.7827172138159316
5,4,24,0.2,0.7513363724786593,0.0,0.2,stress_unobservable,0.0,True,165.6435425783286,1.0008790091110886
5,4,24,0.2,0.3762629021860088,0.0,0.2,stress_unobservable,0.0,True,60.99989954039043,0.41420124463854757
5,4,24,0.2,0.6190977619696716,0.0,0.2,stress_unobservable,0.0,True,86.1932192155501,0.6914612160904565
5,4,24,0.2,0.6302304941989809,0.0,0.2,stress_unobservable,0.0,True,110.53509311608286,0.9834817653383829
5,4,24,0.2,0.6430253619390983,0.0,0.2,stress_unobservable,0.0,True,126.88217770894657,0.8402292949807785
5,4,24,0.2,0.4882673156112236,0.0,0.2,stress_unobservable,0.0,True,117.93446986224961,0.7252339944042299
5,4,24,0.2,0.5958642657240371,0.0,0.2,stress_unobservable,0.0,True,135.48789620804402,0.8429770628896216
5,4,24,0.2,0.7608530602300307,0.0,0.2,stress_unobservable,0.0,True,168.9560903398538,0.9785707330665065
5,4,24,0.2,0.6644302584124198,0.0,0.2,stress_unobservable,0.0,True,164.82975940496857,1.0949863238484032
5,4,24,0.2,0.602259305412548,0.0,0.2,stress_unobservable,0.0,True,111.84811628040288,0.8480799002067678
5,4,24,0.2,0.53768803215407,0.0,0.2,stress_unobservable,0.0,True,107.99951522205934,0.6393601064803075
5,4,24,0.2,0.6181554201716994,0.0,0.2,stress_unobservable,0.0,True,165.52638951983084,0.8186261636318584
5,4,24,0.2,0.6233427381949022,0.0,0.2,stress_unobservable,0.0,True,181.20651620750994,0.8397709469015977
5,4,24,0.2,0.6335993794243601,0.0,0.2,stress_unobservable,0.0,True,225.43194984241467,1.1393924927766803
5,4,24,0.2,0.6463412140713701,0.0,0.2,stress_unobservable,0.0,True,142.77668930282644,0.6855166859470079
5,4,24,0.2,0.550896059736239,0.0,0.2,stress_unobservable,0.0,True,152.17177534678137,0.6647641551633477
5,4,24,0.2,0.6129303941019957,0.0,0.2,stress_unobservable,0.0,True,161.5762082765229,0.8156990482068573
5,4,24,0.2,0.6631271594190672,0.5,0.2,stress_unobservable,0.0,True,118.40327687911193,0.5546154831482336
5,4,24,0.2,0.5073689886360365,0.5,0.2,stress_unobservable,0.0,True,101.93869228722542,0.3605563224308024
5,4,24,0.2,0.3522617878036928,0.5,0.2,stress_unobservable,0.0,True,77.57838441484277,0.036780032034106874
5,4,24,0.2,0.7277321912877532,0.5,0.2,stress_unobservable,0.0,True,157.2783335954504,0.5924073458661054
5,4,24,0.2,0.6608898622177036,0.5,0.2,stress_unobservable,0.0,True,169.6616600679937,0.7163616332034535
5,4,24,0.2,0.7159413818417087,0.5,0.2,stress_unobservable,0.0,True,163.01664027431593,0.6092301956104391
5,4,24,0.2,0.6777319073396448,0.5,0.2,stress_unobservable,0.0,True,137.82993797737225,0.5838085695196794
5,4,24,0.2,0.7004098450600361,0.5,0.2,stress_unobservable,0.0,True,167.84543851091624,0.5593139559717473
5,4,24,0.2,0.7187245488857961,0.5,0.2,stress_unobservable,0.0,True,182.37817341869209,0.71751094782675
5,4,24,0.2,0.716581108307895,0.5,0.2,stress_unobservable,0.0,True,201.77399287134085,0.7215051373995042
5,4,24,0.2,0.42306620493237407,0.5,0.2,stress_unobservable,0.0,True,110.265851149582,0.06984768322203347
5,4,24,0.2,0.711141814728461,0.5,0.2,stress_unobservable,0.0,True,164.07840506060248,0.6426115897962694
5,4,24,0.2,0.5173973782600967,0.5,0.2,stress_unobservable,0.0,True,154.65606840557797,0.36747032521134504
5,4,24,0.2,0.651272985158151,0.5,0.2,stress_unobservable,0.0,True,177.28159427360612,0.7417973888761432
5,4,24,0.2,0.46829332119024286,0.5,0.2,stress_unobservable,0.0,True,92.2436637842036,0.23320003343840293
5,4,24,0.2,0.6215748462368007,0.5,0.2,stress_unobservable,0.0,True,150.73851630786416,0.4488392967092312
5,4,24,0.2,0.5838969281796871,0.5,0.2,stress_unobservable,0.0,True,167.0109732920017,0.4672884830063829
5,4,24,0.2,0.58451451314059,0.5,0.2,stress_unobservable,0.0,True,120.60460871742974,0.560888419160345
5,4,24,0.2,0.5745691213369001,0.5,0.2,stress_unobservable,0.0,True,156.96967191224195,0.4675655232209216
5,4,24,0.2,0.7245401505517683,0.5,0.2,stress_unobservable,0.0,True,179.28784865563722,0.7835972486827272
5,4,24,0.2,0.619751911773413,0.5,0.2,stress_unobservable,0.0,True,176.73703681342096,0.6290995276393025
5,4,24,0.2,0.6852822849696986,0.5,0.2,stress_unobservable,0.0,True,138.2493099544984,0.5506714929760591
5,4,24,0.2,0.6473018617903509,0.5,0.2,stress_unobservable,0.0,True,148.07005652706613,0.5449289868768337
5,4,24,0.2,0.6188656758139652,0.5,0.2,stress_unobservable,0.0,True,108.20226894013075,0.3966914804729894
5,4,24,0.2,0.6496893415420333,0.5,0.2,stress_unobservable,0.0,True,132.18910241741025,0.5480300235942023
5,4,24,0.2,0.6217229884851012,0.5,0.2,stress_unobservable,0.0,True,103.29119575702359,0.22442833521377634
5,4,24,0.2,0.6897853950720333,0.5,0.2,stress_unobservable,0.0,True,125.95548596350692,0.6179266912824877
5,4,24,0.2,0.6859869778053375,0.5,0.2,stress_unobservable,0.0,True,190.42296185195522,0.4969651517361853
5,4,24,0.2,0.4991440745031924,0.5,0.2,stress_unobservable,0.0,True,120.86879796684525,0.20049787959517265
5,4,24,0.2,0.5851562825865992,0.5,0.2,stress_unobservable,0.0,True,159.67126670887416,0.5543452395699108
5,4,24,0.2,0.5892416492750188,0.5,0.2,stress_unobservable,0.0,True,163.7209930735832,0.7271891746013701
5,4,24,0.2,0.683944450179476,0.5,0.2,stress_unobservable,0.0,True,197.53437341032105,0.7363019551653089
5,4,24,0.2,0.5656079171612968,0.5,0.2,stress_unobservable,0.0,True,148.43648140428283,0.6579464264720339
5,4,24,0.2,0.6007116855713259,0.5,0.2,stress_unobservable,0.0,True,160.62910275049884,0.47005716854283563
5,4,24,0.2,0.7153192348885665,0.5,0.2,stress_unobservable,0.0,True,159.81271823889804,0.6074833666938566
5,4,24,0.2,0.727213486612678,0.5,0.2,stress_unobservable,0.0,True,136.19464830330242,0.615107813225535
5,4,24,0.2,0.5468502455488042,0.5,0.2,stress_unobservable,0.0,True,150.37579963389743,0.326816433250654
5,4,24,0.2,0.6987503392891967,0.5,0.2,stress_unobservable,0.0,True,154.35328995625088,0.7485391236341993
5,4,24,0.2,0.679757951901813,0.5,0.2,stress_unobservable,0.0,True,187.50503032167296,0.4518575727342111
5,4,24,0.2,0.6974121772779942,0.5,0.2,stress_unobservable,0.0,True,172.80369694359325,0.7440672755566579
5,4,24,0.2,0.5688001709984566,0.5,0.2,stress_unobservable,0.0,True,173.4587911920151,0.40559007412554166
5,4,24,0.2,0.7449742831554729,0.5,0.2,stress_unobservable,0.0,True,181.74468424950766,0.7376973607185331
5,4,24,0.2,0.56631627218484,0.5,0.2,stress_unobservable,0.0,True,148.53958834618555,0.6080057760647682
5,4,24,0.2,0.7086601020408597,0.5,0.2,stress_unobservable,0.0,True,197.4801716777323,0.744930031828157
5,4,24,0.2,0.676115956672536,0.5,0.2,stress_unobservable,0.0,True,122.98772251226264,0.5057740110061928
5,4,24,0.2,0.6683808340098502,0.5,0.2,stress_unobservable,0.0,True,153.1002274746573,0.5759192965799566
5,4,24,0.2,0.5626902181936663,0.5,0.2,stress_unobservable,0.0,True,102.00424599487087,0.38797825212448833
5,4,24,0.2,0.5748469075490844,0.5,0.2,stress_unobservable,0.0,True,118.32476671823048,0.5595922103612573
5,4,24,0.2,0.5731227945898292,0.5,0.2,stress_unobservable,0.0,True,148.65624732687633,0.45476918851828285
5,4,24,0.2,0.7048764731040476,0.5,0.2,stress_unobservable,0.0,True,142.5311818618431,0.6076695094002839
5,4,24,0.2,0.6454122548082913,1.0,0.2,stress_unobservable,0.0,True,118.90764851624465,0.24750390364537628
5,4,24,0.2,0.4737942178698161,1.0,0.2,feasible_hard,0.01171875,True,74.40560020802016,0.0
5,4,24,0.2,0.4572769650402025,1.0,0.2,feasible_hard,0.0009765625,True,115.28873649593999,0.0
5,4,24,0.2,0.6225671644044087,1.0,0.2,stress_unobservable,0.0,True,150.2924778900449,0.25174396504804053
5,4,24,0.2,0.3646447801530114,1.0,0.2,feasible_hard,0.0029296875,True,86.09653078531478,0.0
5,4,24,0.2,0.5387564912453251,1.0,0.2,feasible_hard,0.0009765625,True,130.0155190852668,0.0
5,4,24,0.2,0.6317022225675527,1.0,0.2,stress_unobservable,0.0,True,165.51356675796356,0.3341292524966978
