instance,selector,sequence,selector_score,num_sequences,feasible_count,feasible_fraction,runtime_sec,mean,worst,prob_catastrophic,prob_degraded,prob_rejected,prob_shortage,var01,cvar01,var05,cvar05,var10,cvar10,var25,cvar25,wowa_mild,wowa_balanced,wowa_severe,robust20,viol_catastrophic,viol_degraded,viol_rejected,viol_shortage,violation_score,feasible
bsp_hard,mean,standard|standard|standard|strong,335.56808483200007,256,75,0.29296875,0.16948413848876953,335.56808483200007,9902.261449999998,0.004752,0.24000000000000002,0.24361152000000003,0.24361152000000003,860.31745,4977.416962239999,860.31745,1683.737352448,852.29125,1268.6375924598399,136.33770000000007,1000.5343672435199,740.2620147443754,991.0030524275533,1723.294145907176,1060.46442122992,0.0,0.0,0.0,0.0,0.0,True
bsp_hard,null_pomdp_mean,standard|standard|standard|strong,335.56808483200007,256,75,0.29296875,0.16970157623291016,335.56808483200007,9902.261449999998,0.004752,0.24000000000000002,0.24361152000000003,0.24361152000000003,860.31745,4977.416962239999,860.31745,1683.737352448,852.29125,1268.6375924598399,136.33770000000007,1000.5343672435199,740.2620147443754,991.0030524275533,1723.294145907176,1060.46442122992,0.0,0.0,0.0,0.0,0.0,True
bsp_hard,replan_no_feedback,standard|standard|standard|strong,335.56808483200007,256,75,0.29296875,0.16991496086120605,335.56808483200007,9902.261449999998,0.004752,0.24000000000000002,0.24361152000000003,0.24361152000000003,860.31745,4977.416962239999,860.31745,1683.737352448,852.29125,1268.6375924598399,136.33770000000007,1000.5343672435199,740.2620147443754,991.0030524275533,1723.294145907176,1060.46442122992,0.0,0.0,0.0,0.0,0.0,True
bsp_hard,worst,standard|strong|strong|strong,935.75715,256,75,0.29296875,0.1701211929321289,859.7780054720001,935.75715,0.0,1.0,1.0,1.0,920.02115,921.8158093280001,920.02115,920.3800818656,909.1137500000001,915.0523231328001,851.8499,909.4259487680002,875.1711453222053,883.3690471226939,900.4606036851961,912.0830365664002,0.0,0.7,0.64,0.64,1980000.0,False
bsp_hard,chance,standard|strong|strong|strong,859.7780054720001,256,75,0.29296875,0.1703319549560547,859.7780054720001,935.75715,0.0,1.0,1.0,1.0,920.02115,921.8158093280001,920.02115,920.3800818656,909.1137500000001,915.0523231328001,851.8499,909.4259487680002,875.1711453222053,883.3690471226939,900.4606036851961,912.0830365664002,0.0,0.7,0.64,0.64,1980000.0,False
bsp_hard,robust20,strong|strong|strong|standard,912.0830365664001,256,75,0.29296875,0.17054128646850586,859.7780054720001,935.75715,0.0,1.0,1.0,1.0,920.02115,921.8158093280001,920.02115,920.3800818656,909.11375,915.0523231328,851.8499,909.4259487680001,875.1711453222053,883.3690471226939,900.4606036851961,912.0830365664001,0.0,0.7,0.64,0.64,1980000.0,False
bsp_hard,cvar01,standard|strong|strong|strong,921.8158093280001,256,75,0.29296875,0.1707465648651123,859.7780054720001,935.75715,0.0,1.0,1.0,1.0,920.02115,921.8158093280001,920.02115,920.3800818656,909.1137500000001,915.0523231328001,851.8499,909.4259487680002,875.1711453222053,883.3690471226939,900.4606036851961,912.0830365664002,0.0,0.7,0.64,0.64,1980000.0,False
bsp_hard,cvar05,standard|strong|strong|strong,920.3800818656,256,75,0.29296875,0.17095446586608887,859.7780054720001,935.75715,0.0,1.0,1.0,1.0,920.02115,921.8158093280001,920.02115,920.3800818656,909.1137500000001,915.0523231328001,851.8499,909.4259487680002,875.1711453222053,883.3690471226939,900.4606036851961,912.0830365664002,0.0,0.7,0.64,0.64,1980000.0,False
bsp_hard,cvar10,strong|strong|strong|standard,915.0523231328,256,75,0.29296875,0.17116332054138184,859.7780054720001,935.75715,0.0,1.0,1.0,1.0,920.02115,921.8158093280001,920.02115,920.3800818656,909.11375,915.0523231328,851.8499,909.4259487680001,875.1711453222053,883.3690471226939,900.4606036851961,912.0830365664001,0.0,0.7,0.64,0.64,1980000.0,False
bsp_hard,cvar25,strong|strong|strong|standard,909.4259487680001,256,75,0.29296875,0.17136907577514648,859.7780054720001,935.75715,0.0,1.0,1.0,1.0,920.02115,921.8158093280001,920.02115,920.3800818656,909.11375,915.0523231328,851.8499,909.4259487680001,875.1711453222053,883.3690471226939,900.4606036851961,912.0830365664001,0.0,0.7,0.64,0.64,1980000.0,False
bsp_hard,wowa_mild,strong|standard|standard|standard,740.2620147443753,256,75,0.29296875,0.17157459259033203,335.56808483200007,9902.261449999998,0.004752,0.24000000000000002,0.24361152000000003,0.24361152000000003,860.31745,4977.416962239999,860.31745,1683.737352448,852.29125,1268.6375924598399,136.33770000000004,1000.5343672435199,740.2620147443753,991.0030524275533,1723.294145907176,1060.46442122992,0.0,0.0,0.0,0.0,0.0,True
bsp_hard,wowa_balanced,standard|strong|strong|strong,883.3690471226939,256,75,0.29296875,0.17178797721862793,859.7780054720001,935.75715,0.0,1.0,1.0,1.0,920.02115,921.8158093280001,920.02115,920.3800818656,909.1137500000001,915.0523231328001,851.8499,909.4259487680002,875.1711453222053,883.3690471226939,900.4606036851961,912.0830365664002,0.0,0.7,0.64,0.64,1980000.0,False
bsp_hard,wowa_severe,standard|strong|strong|strong,900.4606036851961,256,75,0.29296875,0.17200016975402832,859.7780054720001,935.75715,0.0,1.0,1.0,1.0,920.02115,921.8158093280001,920.02115,920.3800818656,909.1137500000001,915.0523231328001,851.8499,909.4259487680002,875.1711453222053,883.3690471226939,900.4606036851961,912.0830365664002,0.0,0.7,0.64,0.64,1980000.0,False
bsp_hard,governed_mean,standard|standard|standard|strong,335.56808483200007,256,75,0.29296875,0.17220854759216309,335.56808483200007,9902.261449999998,0.004752,0.24000000000000002,0.24361152000000003,0.24361152000000003,860.31745,4977.416962239999,860.31745,1683.737352448,852.29125,1268.6375924598399,136.33770000000007,1000.5343672435199,740.2620147443754,991.0030524275533,1723.294145907176,1060.46442122992,0.0,0.0,0.0,0.0,0.0,True
bsp_hard,governed_cvar05,standard|standard|standard|strong,1683.737352448,256,75,0.29296875,0.17241358757019043,335.56808483200007,9902.261449999998,0.004752,0.24000000000000002,0.24361152000000003,0.24361152000000003,860.31745,4977.416962239999,860.31745,1683.737352448,852.29125,1268.6375924598399,136.33770000000007,1000.5343672435199,740.2620147443754,991.0030524275533,1723.294145907176,1060.46442122992,0.0,0.0,0.0,0.0,0.0,True
bsp_hard,governed_cvar25,standard|standard|standard|strong,1000.5343672435199,256,75,0.29296875,0.1726229190826416,335.56808483200007,9902.261449999998,0.004752,0.24000000000000002,0.24361152000000003,0.24361152000000003,860.31745,4977.416962239999,860.31745,1683.737352448,852.29125,1268.6375924598399,136.33770000000007,1000.5343672435199,740.2620147443754,991.0030524275533,1723.294145907176,1060.46442122992,0.0,0.0,0.0,0.0,0.0,True
bsp_hard,governed_wowa_balanced,standard|standard|standard|strong,991.0030524275533,256,75,0.29296875,0.17283177375793457,335.56808483200007,9902.261449999998,0.004752,0.24000000000000002,0.24361152000000003,0.24361152000000003,860.31745,4977.416962239999,860.31745,1683.737352448,852.29125,1268.6375924598399,136.33770000000007,1000.5343672435199,740.2620147443754,991.0030524275533,1723.294145907176,1060.46442122992,0.0,0.0,0.0,0.0,0.0,True
bsp_hard,governed_wowa_severe,standard|standard|standard|strong,1723.294145907176,256,75,0.29296875,0.17303705215454102,335.56808483200007,9902.261449999998,0.004752,0.24000000000000002,0.24361152000000003,0.24361152000000003,860.31745,4977.416962239999,860.31745,1683.737352448,852.29125,1268.6375924598399,136.33770000000007,1000.5343672435199,740.2620147443754,991.0030524275533,1723.294145907176,1060.46442122992,0.0,0.0,0.0,0.0,0.0,True
bsp_hard,oracle_hidden_state,<scenario-dependent>,74.51888728640003,256,75,0.29296875,0.17446589469909668,74.51888728640003,935.75715,0.0,0.032463360000000004,0.032463360000000004,0.032463360000000004,841.856,871.7357539040001,110.69600000000001,584.7242976896001,98.2889,343.1284138784,66.31500000000001,183.149373627648,185.51761751689654,248.04744552535814,424.27003444688194,211.95738772384,0.0,0.0,0.0,0.0,0.0,True
