instance,selector,sequence,selector_score,num_sequences,feasible_count,feasible_fraction,runtime_sec,mean,worst,prob_catastrophic,prob_moderate_harm,prob_toxicity,var01,cvar01,var05,cvar05,var10,cvar10,var25,cvar25,wowa_mild,wowa_balanced,wowa_severe,robust20,viol_catastrophic,viol_toxicity,viol_moderate_harm,violation_score,feasible
bcst_hard,mean,standard|standard|standard|standard,828.34425104,256,89,0.34765625,0.1674356460571289,828.34425104,10358.3208,0.016632,0.24361152000000003,0.24000000000000002,8263.6408,9230.020445440001,2257.6928000000003,4449.974199342079,2242.64,3349.23996313856,2242.64,2685.279985255424,1752.4887241117099,2290.038536071686,3738.77764309112,2795.93998156928,0.0,0.0,0.0,0.0,True
bcst_hard,null_pomdp_mean,standard|standard|standard|standard,828.34425104,256,89,0.34765625,0.1676483154296875,828.34425104,10358.3208,0.016632,0.24361152000000003,0.24000000000000002,8263.6408,9230.020445440001,2257.6928000000003,4449.974199342079,2242.64,3349.23996313856,2242.64,2685.279985255424,1752.4887241117099,2290.038536071686,3738.77764309112,2795.93998156928,0.0,0.0,0.0,0.0,True
bcst_hard,replan_no_feedback,standard|standard|standard|standard,828.34425104,256,89,0.34765625,0.16785788536071777,828.34425104,10358.3208,0.016632,0.24361152000000003,0.24000000000000002,8263.6408,9230.020445440001,2257.6928000000003,4449.974199342079,2242.64,3349.23996313856,2242.64,2685.279985255424,1752.4887241117099,2290.038536071686,3738.77764309112,2795.93998156928,0.0,0.0,0.0,0.0,True
bcst_hard,worst,standard|boost|boost|boost,2464.7677,256,89,0.34765625,0.16806483268737793,2307.296504192,2464.7677,0.0,1.0,1.0,2440.1717,2442.9768246080002,2440.1717,2440.7327249216,2416.1225,2429.1009900608,2289.8642,2416.6188798080007,2341.0072806287494,2359.012151179037,2396.4914645462586,2422.6117450304,0.0,0.6599999999999999,0.18000000000000005,840000.0,False
bcst_hard,chance,standard|boost|boost|boost,2307.296504192,256,89,0.34765625,0.16829156875610352,2307.296504192,2464.7677,0.0,1.0,1.0,2440.1717,2442.9768246080002,2440.1717,2440.7327249216,2416.1225,2429.1009900608,2289.8642,2416.6188798080007,2341.0072806287494,2359.012151179037,2396.4914645462586,2422.6117450304,0.0,0.6599999999999999,0.18000000000000005,840000.0,False
bcst_hard,robust20,standard|boost|boost|boost,2422.6117450304,256,89,0.34765625,0.16849565505981445,2307.296504192,2464.7677,0.0,1.0,1.0,2440.1717,2442.9768246080002,2440.1717,2440.7327249216,2416.1225,2429.1009900608,2289.8642,2416.6188798080007,2341.0072806287494,2359.012151179037,2396.4914645462586,2422.6117450304,0.0,0.6599999999999999,0.18000000000000005,840000.0,False
bcst_hard,cvar01,standard|boost|boost|boost,2442.9768246080002,256,89,0.34765625,0.16869807243347168,2307.296504192,2464.7677,0.0,1.0,1.0,2440.1717,2442.9768246080002,2440.1717,2440.7327249216,2416.1225,2429.1009900608,2289.8642,2416.6188798080007,2341.0072806287494,2359.012151179037,2396.4914645462586,2422.6117450304,0.0,0.6599999999999999,0.18000000000000005,840000.0,False
bcst_hard,cvar05,standard|boost|boost|boost,2440.7327249216,256,89,0.34765625,0.168900728225708,2307.296504192,2464.7677,0.0,1.0,1.0,2440.1717,2442.9768246080002,2440.1717,2440.7327249216,2416.1225,2429.1009900608,2289.8642,2416.6188798080007,2341.0072806287494,2359.012151179037,2396.4914645462586,2422.6117450304,0.0,0.6599999999999999,0.18000000000000005,840000.0,False
bcst_hard,cvar10,standard|boost|boost|boost,2429.1009900608,256,89,0.34765625,0.16910982131958008,2307.296504192,2464.7677,0.0,1.0,1.0,2440.1717,2442.9768246080002,2440.1717,2440.7327249216,2416.1225,2429.1009900608,2289.8642,2416.6188798080007,2341.0072806287494,2359.012151179037,2396.4914645462586,2422.6117450304,0.0,0.6599999999999999,0.18000000000000005,840000.0,False
bcst_hard,cvar25,standard|boost|boost|boost,2416.6188798080007,256,89,0.34765625,0.1693265438079834,2307.296504192,2464.7677,0.0,1.0,1.0,2440.1717,2442.9768246080002,2440.1717,2440.7327249216,2416.1225,2429.1009900608,2289.8642,2416.6188798080007,2341.0072806287494,2359.012151179037,2396.4914645462586,2422.6117450304,0.0,0.6599999999999999,0.18000000000000005,840000.0,False
