instance,planner,budget,n_seeds,score_mean,score_std,score_sem,loss_mean,loss_std,loss_sem,violation_mean,feasible_rate,sample_feasible_fraction_mean
bged_hard_H10_A6_S120,beam,100,20,10660.59446817255,0.0,0.0,6956.187653801809,0.0,0.0,0.0,1.0,0.08001000000000001
bged_hard_H10_A6_S120,beam,500,20,10660.59446817255,0.0,0.0,6956.187653801809,0.0,0.0,0.0,1.0,0.08001000000000001
bged_hard_H10_A6_S120,beam,1000,20,10660.59446817255,0.0,0.0,6956.187653801809,0.0,0.0,0.0,1.0,0.08001000000000001
bged_hard_H10_A6_S120,beam,5000,20,10660.59446817255,0.0,0.0,6956.187653801809,0.0,0.0,0.0,1.0,0.08001000000000001
bged_hard_H10_A6_S120,beam,10000,20,10660.59446817255,0.0,0.0,6956.187653801809,0.0,0.0,0.0,1.0,0.08001000000000001
bged_hard_H10_A6_S120,cem,100,20,13348.05444183898,36.92678982496058,8.25708122394594,10744.457815296671,33.632024714679225,7.520349348297572,0.0,1.0,0.08001000000000001
bged_hard_H10_A6_S120,cem,500,20,13294.176433201943,27.069768235889587,6.052984191061368,10695.184893249392,24.74246956339066,5.532584387496105,0.0,1.0,0.08001000000000001
bged_hard_H10_A6_S120,cem,1000,20,11624.370928117718,839.377911005307,187.69060678196354,8061.883792152623,1025.05989635691,229.210360926294,0.0,1.0,0.08001000000000001
bged_hard_H10_A6_S120,cem,5000,20,10660.59446817255,0.0,0.0,6956.187653801809,0.0,0.0,0.0,1.0,0.08001000000000001
bged_hard_H10_A6_S120,cem,10000,20,10660.59446817255,0.0,0.0,6956.187653801809,0.0,0.0,0.0,1.0,0.08001000000000001
bged_hard_H10_A6_S120,evolutionary,100,20,13381.612500857003,50.88489565170014,11.378208570518497,10774.966457201894,46.516476675549555,10.401400392031222,0.0,1.0,0.08001000000000001
bged_hard_H10_A6_S120,evolutionary,500,20,12374.552180159233,890.9837111674505,199.23001450154575,9185.006357900917,1349.788348433644,301.82185023347995,0.0,1.0,0.08001000000000001
bged_hard_H10_A6_S120,evolutionary,1000,20,10812.42837729497,467.3349338588168,104.49926803686824,7123.728205717659,515.6789547486244,115.30931973839621,0.0,1.0,0.08001000000000001
bged_hard_H10_A6_S120,evolutionary,5000,20,10660.59446817255,0.0,0.0,6956.187653801809,0.0,0.0,0.0,1.0,0.08001000000000001
bged_hard_H10_A6_S120,evolutionary,10000,20,10660.59446817255,0.0,0.0,6956.187653801809,0.0,0.0,0.0,1.0,0.08001000000000001
bged_hard_H10_A6_S120,open_loop_mcts,100,20,13283.85656558348,267.2990104243764,59.769875762733044,10633.769338126021,474.7224222479098,106.15116065896848,0.0,1.0,0.08001000000000001
bged_hard_H10_A6_S120,open_loop_mcts,500,20,13266.613992080665,262.0000416355695,58.58499032049086,10617.949173215808,470.3933811737803,105.18315764705426,0.0,1.0,0.08001000000000001
bged_hard_H10_A6_S120,open_loop_mcts,1000,20,13266.613992080665,262.0000416355695,58.58499032049086,10617.949173215808,470.3933811737803,105.18315764705426,0.0,1.0,0.08001000000000001
bged_hard_H10_A6_S120,open_loop_mcts,5000,20,13266.613992080665,262.0000416355695,58.58499032049086,10617.949173215808,470.3933811737803,105.18315764705426,0.0,1.0,0.08001000000000001
bged_hard_H10_A6_S120,open_loop_mcts,10000,20,13266.613992080665,262.0000416355695,58.58499032049086,10617.949173215808,470.3933811737803,105.18315764705426,0.0,1.0,0.08001000000000001
bged_hard_H10_A6_S120,random,100,20,13427.926415722235,41.40874147951002,9.259276081089961,10817.521152027392,37.759689567535446,8.44332326822989,0.0,1.0,0.08001000000000001
bged_hard_H10_A6_S120,random,500,20,13375.589089750132,38.39299206771026,8.584934012301035,10770.010441114606,34.94867005657165,7.814760196970563,0.0,1.0,0.08001000000000001
bged_hard_H10_A6_S120,random,1000,20,13342.274152728507,41.35805898747726,9.247943131344526,10739.40044593041,37.55949716516631,8.398558886202252,0.0,1.0,0.08001000000000001
bged_hard_H10_A6_S120,random,5000,20,13302.090122487387,26.584518529353947,5.944479058073816,10702.550628427347,24.11521937320592,5.3923269810808305,0.0,1.0,0.08001000000000001
bged_hard_H10_A6_S120,random,10000,20,13290.299816790668,21.115603718475597,4.721592530045877,10691.898272026616,19.335268360323337,4.323497441688388,0.0,1.0,0.08001000000000001
bged_hard_H12_A6_S120,beam,100,20,13232.232483077742,0.0,0.0,10638.648472499512,0.0,0.0,0.0,1.0,0.08000000000000002
bged_hard_H12_A6_S120,beam,500,20,13232.232483077742,0.0,0.0,10638.648472499512,0.0,0.0,0.0,1.0,0.08000000000000002
bged_hard_H12_A6_S120,beam,1000,20,13232.232483077742,0.0,0.0,10638.648472499512,0.0,0.0,0.0,1.0,0.08000000000000002
bged_hard_H12_A6_S120,beam,5000,20,13232.232483077742,0.0,0.0,10638.648472499512,0.0,0.0,0.0,1.0,0.08000000000000002
bged_hard_H12_A6_S120,beam,10000,20,13232.232483077742,0.0,0.0,10638.648472499512,0.0,0.0,0.0,1.0,0.08000000000000002
bged_hard_H12_A6_S120,cem,100,20,13477.364982434685,37.088403177345796,8.293219068146438,10862.719660842846,33.555842564038876,7.503314501547177,0.0,1.0,0.08000000000000002
bged_hard_H12_A6_S120,cem,500,20,13412.011086128023,37.14709611165796,8.30634320723853,10802.981257124593,33.75642823744535,7.548166821652121,0.0,1.0,0.08000000000000002
bged_hard_H12_A6_S120,cem,1000,20,13288.769498680664,22.377838797100118,5.003836873984799,10690.284432302327,20.388747165711024,4.559062463858601,0.0,1.0,0.08000000000000002
