instance,domain,variant,horizon,action_count,scenario_count,budget,seed,target_fraction,sample_feasible_fraction,calibration_status,calibration_file,planner,selector,sequence,score,evaluations,runtime_sec,mean,worst,prob_catastrophic,prob_immune,prob_no_benefit,prob_offtarget,var01,cvar01,var05,cvar05,var10,cvar10,var25,cvar25,wowa_mild,wowa_balanced,wowa_severe,robust20,calibration_score,viol_catastrophic,viol_immune,viol_no_benefit,viol_offtarget,viol_calibration_score,violation_score,feasible
bged_hard_H6_A6_S120,bged,hard,6,6,120,100,0,0.08,0.08,ok,calibrations/calibration_bged_hard_H6_A6_S120_seed0.json,random,governed_wowa_balanced,low_vector|low_vector|low_vector|mild_plus|targeted_vector|targeted_vector,10627.626650782386,100,0.19839096069335938,6930.527003877561,16570.216674500003,0.411764705882353,0.1048893179780705,0.411764705882353,0.411764705882353,16522.480674500002,16531.05505454254,16522.480674500002,16524.19555050851,16522.480674500002,16523.33811250425,16507.7424125,16518.252530132242,8907.88002832544,10627.626650782386,13721.66035081696,16519.42971129715,6.371131675941606,0.0,0.0,0.0,0.0,0.0,0.0,True
bged_hard_H6_A6_S120,bged,hard,6,6,120,100,0,0.08,0.08,ok,calibrations/calibration_bged_hard_H6_A6_S120_seed0.json,beam,governed_wowa_balanced,targeted_vector|low_vector|low_vector|low_vector|low_vector|low_vector,10586.44603016942,116,0.21351242065429688,6875.789243121745,16532.16346,0.411764705882353,0.1048893179780705,0.4130884244126106,0.411764705882353,16460.19546,16487.003040642478,16445.54746,16455.135641436653,16445.54746,16450.34155071833,16434.3805,16444.129069668306,8865.980047870285,10586.44603016942,13671.91130801264,16445.424786332478,6.372531822914934,0.0,0.0,0.0,0.0,0.0,0.0,True
bged_hard_H6_A6_S120,bged,hard,6,6,120,100,0,0.08,0.08,ok,calibrations/calibration_bged_hard_H6_A6_S120_seed0.json,cem,governed_wowa_balanced,low_vector|low_vector|low_vector|mild_plus|mild_plus|low_vector,10612.939563337393,100,0.19626474380493164,6900.8684070434765,16574.7982965,0.411764705882353,0.1048893179780705,0.4130884244126106,0.411764705882353,16504.1742965,16529.911080675636,16479.1102965,16492.61002670251,16479.1102965,16485.86016160125,16465.828762499998,16477.891565997867,8892.354968915433,10612.939563337393,13700.0318202751,16479.54970089684,6.372825249390652,0.0,0.0,0.0,0.0,0.0,0.0,True
bged_hard_H6_A6_S120,bged,hard,6,6,120,100,0,0.08,0.08,ok,calibrations/calibration_bged_hard_H6_A6_S120_seed0.json,evolutionary,governed_wowa_balanced,low_vector|low_vector|low_vector|mild_plus|mild_plus|low_vector,10612.939563337393,100,0.19447803497314453,6900.8684070434765,16574.7982965,0.411764705882353,0.1048893179780705,0.4130884244126106,0.411764705882353,16504.1742965,16529.911080675636,16479.1102965,16492.61002670251,16479.1102965,16485.86016160125,16465.828762499998,16477.891565997867,8892.354968915433,10612.939563337393,13700.0318202751,16479.54970089684,6.372825249390652,0.0,0.0,0.0,0.0,0.0,0.0,True
bged_hard_H6_A6_S120,bged,hard,6,6,120,100,0,0.08,0.08,ok,calibrations/calibration_bged_hard_H6_A6_S120_seed0.json,open_loop_mcts,governed_wowa_balanced,low_vector|low_vector|mild_plus|targeted_vector|low_vector|low_vector,10611.032620291007,100,0.20317339897155762,6903.577796574743,16558.372651,0.411764705882353,0.1048893179780705,0.4130884244126106,0.411764705882353,16484.932651000003,16512.664935845474,16481.692651,16488.016793619634,16481.692651,16484.85472230981,16468.665175000002,16478.980350701615,8891.95299902411,10611.032620291007,13698.559348519802,16480.277149712736,6.372835917640463,0.0,0.0,0.0,0.0,0.0,0.0,True
bged_hard_H6_A6_S120,bged,hard,6,6,120,500,0,0.08,0.08,ok,calibrations/calibration_bged_hard_H6_A6_S120_seed0.json,random,governed_wowa_balanced,targeted_vector|low_vector|mild_plus|low_vector|low_vector|mild_plus,10621.392701925066,500,0.9731848239898682,6924.6148402867875,16583.3798965,0.411764705882353,0.1048893179780705,0.411764705882353,0.411764705882353,16516.6358965,16537.63306541272,16516.6358965,16520.83533028255,16516.6358965,16518.735613391265,16501.8087625,16512.892421761284,8902.174343567145,10621.392701925066,13714.647879323209,16514.204242705975,6.371085717527698,0.0,0.0,0.0,0.0,0.0,0.0,True
bged_hard_H6_A6_S120,bged,hard,6,6,120,500,0,0.08,0.08,ok,calibrations/calibration_bged_hard_H6_A6_S120_seed0.json,beam,governed_wowa_balanced,targeted_vector|low_vector|low_vector|low_vector|low_vector|low_vector,10586.44603016942,442,0.7984824180603027,6875.789243121745,16532.16346,0.411764705882353,0.1048893179780705,0.4130884244126106,0.411764705882353,16460.19546,16487.003040642478,16445.54746,16455.135641436653,16445.54746,16450.34155071833,16434.3805,16444.129069668306,8865.980047870285,10586.44603016942,13671.91130801264,16445.424786332478,6.372531822914934,0.0,0.0,0.0,0.0,0.0,0.0,True
bged_hard_H6_A6_S120,bged,hard,6,6,120,500,0,0.08,0.08,ok,calibrations/calibration_bged_hard_H6_A6_S120_seed0.json,cem,governed_wowa_balanced,low_vector|targeted_vector|low_vector|low_vector|low_vector|low_vector,10586.840827420163,500,0.9739453792572021,6876.148399213326,16532.621344,0.411764705882353,0.1048893179780705,0.4130884244126106,0.411764705882353,16460.653344,16487.459547567905,16446.005344,16455.592423283422,16446.005344,16450.79888364171,16434.8152,16444.579731950627,8866.358492455152,10586.840827420163,13672.335840689204,16445.877069443333,6.372535872359849,0.0,0.0,0.0,0.0,0.0,0.0,True
bged_hard_H6_A6_S120,bged,hard,6,6,120,500,0,0.08,0.08,ok,calibrations/calibration_bged_hard_H6_A6_S120_seed0.json,evolutionary,governed_wowa_balanced,low_vector|low_vector|targeted_vector|low_vector|low_vector|low_vector,10587.235624670899,500,0.9486048221588135,6876.5075553049055,16533.079228,0.411764705882353,0.1048893179780705,0.4130884244126106,0.411764705882353,16461.111227999998,16487.91605449334,16446.463228,16456.04920513019,16446.463228,16451.256216565096,16435.2499,16445.030394232956,8866.73693704002,10587.235624670899,13672.760373365762,16446.329352554196,6.372539921804766,0.0,0.0,0.0,0.0,0.0,0.0,True
bged_hard_H6_A6_S120,bged,hard,6,6,120,500,0,0.08,0.08,ok,calibrations/calibration_bged_hard_H6_A6_S120_seed0.json,open_loop_mcts,governed_wowa_balanced,low_vector|low_vector|mild_plus|targeted_vector|low_vector|low_vector,10611.032620291007,500,0.9382405281066895,6903.577796574743,16558.372651,0.411764705882353,0.1048893179780705,0.4130884244126106,0.411764705882353,16484.932651000003,16512.664935845474,16481.692651,16488.016793619634,16481.692651,16484.85472230981,16468.665175000002,16478.980350701615,8891.95299902411,10611.032620291007,13698.559348519802,16480.277149712736,6.372835917640463,0.0,0.0,0.0,0.0,0.0,0.0,True
