instance,selector,sequence,selector_score,num_sequences,feasible_count,feasible_fraction,runtime_sec,mean,worst,prob_catastrophic,prob_immune,prob_no_benefit,prob_offtarget,var01,cvar01,var05,cvar05,var10,cvar10,var25,cvar25,wowa_mild,wowa_balanced,wowa_severe,robust20,viol_catastrophic,viol_no_benefit,viol_offtarget,viol_immune,violation_score,feasible
bged_hard,mean,low_vector|low_vector|low_vector|targeted_vector,388.047867328,256,5,0.01953125,0.16547155380249023,388.047867328,4840.324,0.0,0.0,0.055128,0.0,4765.612,4789.234762240001,4702.312000000001,4736.8735552,181.624,2698.4331258879993,163.9,1179.45830711296,1086.4441307204827,1491.7706278222342,2584.261538934886,1433.3478838911997,0.0,0.0,0.0,0.0,0.0,True
bged_hard,null_pomdp_mean,low_vector|low_vector|low_vector|targeted_vector,388.047867328,256,5,0.01953125,0.16568255424499512,388.047867328,4840.324,0.0,0.0,0.055128,0.0,4765.612,4789.234762240001,4702.312000000001,4736.8735552,181.624,2698.4331258879993,163.9,1179.45830711296,1086.4441307204827,1491.7706278222342,2584.261538934886,1433.3478838911997,0.0,0.0,0.0,0.0,0.0,True
bged_hard,replan_no_feedback,low_vector|low_vector|low_vector|targeted_vector,388.047867328,256,5,0.01953125,0.16589808464050293,388.047867328,4840.324,0.0,0.0,0.055128,0.0,4765.612,4789.234762240001,4702.312000000001,4736.8735552,181.624,2698.4331258879993,163.9,1179.45830711296,1086.4441307204827,1491.7706278222342,2584.261538934886,1433.3478838911997,0.0,0.0,0.0,0.0,0.0,True
bged_hard,worst,low_vector|low_vector|low_vector|low_vector,4831.7424,256,5,0.01953125,0.1661076545715332,663.3253056,4831.7424,0.0,0.0,0.12021600000000002,0.0,4763.4,4785.668556288,4709.8224,4740.93725184,4669.5599999999995,4715.732809728,141.48,2345.9400428544,1697.4654988863856,2201.5079782903827,3353.12809648144,2896.346564352,0.0,0.0,0.0,0.0,0.0,True
bged_hard,chance,low_vector|low_vector|low_vector|targeted_vector,388.047867328,256,5,0.01953125,0.16631197929382324,388.047867328,4840.324,0.0,0.0,0.055128,0.0,4765.612,4789.234762240001,4702.312000000001,4736.8735552,181.624,2698.4331258879993,163.9,1179.45830711296,1086.4441307204827,1491.7706278222342,2584.261538934886,1433.3478838911997,0.0,0.0,0.0,0.0,0.0,True
bged_hard,robust20,low_vector|low_vector|low_vector|targeted_vector,1433.3478838911997,256,5,0.01953125,0.16652703285217285,388.047867328,4840.324,0.0,0.0,0.055128,0.0,4765.612,4789.234762240001,4702.312000000001,4736.8735552,181.624,2698.4331258879993,163.9,1179.45830711296,1086.4441307204827,1491.7706278222342,2584.261538934886,1433.3478838911997,0.0,0.0,0.0,0.0,0.0,True
bged_hard,cvar01,low_vector|low_vector|low_vector|low_vector,4785.668556288,256,5,0.01953125,0.16673493385314941,663.3253056,4831.7424,0.0,0.0,0.12021600000000002,0.0,4763.4,4785.668556288,4709.8224,4740.93725184,4669.5599999999995,4715.732809728,141.48,2345.9400428544,1697.4654988863856,2201.5079782903827,3353.12809648144,2896.346564352,0.0,0.0,0.0,0.0,0.0,True
bged_hard,cvar05,low_vector|low_vector|low_vector|targeted_vector,4736.8735552,256,5,0.01953125,0.16694140434265137,388.047867328,4840.324,0.0,0.0,0.055128,0.0,4765.612,4789.234762240001,4702.312000000001,4736.8735552,181.624,2698.4331258879993,163.9,1179.45830711296,1086.4441307204827,1491.7706278222342,2584.261538934886,1433.3478838911997,0.0,0.0,0.0,0.0,0.0,True
bged_hard,cvar10,low_vector|low_vector|low_vector|targeted_vector,2698.4331258879993,256,5,0.01953125,0.16715121269226074,388.047867328,4840.324,0.0,0.0,0.055128,0.0,4765.612,4789.234762240001,4702.312000000001,4736.8735552,181.624,2698.4331258879993,163.9,1179.45830711296,1086.4441307204827,1491.7706278222342,2584.261538934886,1433.3478838911997,0.0,0.0,0.0,0.0,0.0,True
bged_hard,cvar25,low_vector|low_vector|low_vector|targeted_vector,1179.45830711296,256,5,0.01953125,0.1673734188079834,388.047867328,4840.324,0.0,0.0,0.055128,0.0,4765.612,4789.234762240001,4702.312000000001,4736.8735552,181.624,2698.4331258879993,163.9,1179.45830711296,1086.4441307204827,1491.7706278222342,2584.261538934886,1433.3478838911997,0.0,0.0,0.0,0.0,0.0,True
