sequence,mean,worst,var01,cvar01,var05,cvar05,var10,cvar10,var25,cvar25,wowa_mild,wowa_balanced,wowa_severe,robust20,prob_catastrophic,prob_degraded,prob_shortage,viol_catastrophic,viol_degraded,viol_shortage,violation_score,feasible
reboot_C|noop|reboot_D|reboot_A|reboot_D|noop,235.25,469.0,469.0,469.00000000000006,469.0,469.00000000000006,469.0,469.00000000000006,399.0,434.0,274.1192803052587,330.82340755744883,399.16700866393074,442.75000000000006,0.375,0.375,0.625,0.3,0.07500000000000001,0.325,880000.0,False
reboot_C|noop|reboot_D|reboot_A|reboot_D|reboot_A,208.75,440.0,440.0,440.0,440.0,440.0,440.0,440.0,370.0,405.0,243.87210681988768,297.16656541613764,365.0182398540813,413.75,0.125,0.375,0.25,0.05,0.07500000000000001,0.0,152500.0,False
reboot_C|noop|reboot_D|reboot_A|reboot_D|reboot_B,217.5,390.0,390.0,390.0,390.0,390.0,390.0,390.0,370.0,380.0,250.1456677257845,296.77639957122193,349.70474236206115,382.5,0.125,0.375,0.5,0.05,0.07500000000000001,0.2,292500.0,False
reboot_C|noop|reboot_D|reboot_A|reboot_D|reboot_C,208.75,440.0,440.0,440.0,440.0,440.0,440.0,440.0,320.0,380.0,242.6951597126852,293.72453918179764,358.0215458276334,395.0,0.125,0.375,0.25,0.05,0.07500000000000001,0.0,152500.0,False
reboot_C|noop|reboot_D|reboot_A|reboot_D|reboot_D,241.25,475.0,475.0,475.0,475.0,475.0,475.0,475.0,405.0,440.0,280.11928030525877,336.8234075574488,405.1670086639307,448.75,0.375,0.375,0.625,0.3,0.07500000000000001,0.325,880000.0,False
reboot_C|noop|reboot_D|reboot_B|noop|noop,333.0,498.0,498.0,498.00000000000006,498.0,498.0,498.0,498.0,498.0,498.0,369.5976830238128,420.21477797376247,472.05095759233933,498.0,0.5,0.75,1.0,0.425,0.45,0.7,1655000.0,False
reboot_C|noop|reboot_D|reboot_B|noop|reboot_A,308.375,469.0,469.0,469.00000000000006,469.0,469.00000000000006,469.0,469.00000000000006,434.0,451.5,340.10069903370044,385.09678900984557,433.5388736890106,455.87500000000006,0.5,0.75,0.75,0.425,0.45,0.45,1480000.0,False
reboot_C|noop|reboot_D|reboot_B|noop|reboot_B,304.0,469.0,469.0,469.00000000000006,469.0,469.00000000000006,469.0,469.00000000000006,434.0,451.5,340.8553073418325,388.77048081900784,435.0220018239855,455.87500000000006,0.5,0.75,0.75,0.425,0.45,0.45,1480000.0,False
reboot_C|noop|reboot_D|reboot_B|noop|reboot_C,308.375,469.0,469.0,469.00000000000006,469.0,469.00000000000006,469.0,469.00000000000006,469.0,469.0,340.52196449845263,386.6889004559313,437.9477884176927,469.00000000000006,0.5,0.75,0.75,0.425,0.45,0.45,1480000.0,False
reboot_C|noop|reboot_D|reboot_B|noop|reboot_D,304.0,469.0,469.0,469.00000000000006,469.0,469.00000000000006,469.0,469.00000000000006,469.0,469.0,342.3235424134057,393.31813611942,443.6802325581396,469.00000000000006,0.5,0.75,0.75,0.425,0.45,0.45,1480000.0,False
reboot_C|noop|reboot_D|reboot_B|reboot_A|noop,267.75,419.0,419.0,419.00000000000006,419.0,419.00000000000006,419.0,419.00000000000006,399.0,409.0,292.6587819527757,330.1667540623992,376.82831737346106,411.50000000000006,0.375,0.625,0.625,0.3,0.325,0.325,1055000.0,False
reboot_C|noop|reboot_D|reboot_B|reboot_A|reboot_A,273.75,425.0,425.0,425.0,425.0,425.0,425.0,425.0,405.0,415.0,298.6587819527757,336.16675406239926,382.82831737346106,417.5,0.375,0.625,0.625,0.3,0.325,0.325,1055000.0,False
reboot_C|noop|reboot_D|reboot_B|reboot_A|reboot_B,241.25,370.0,370.0,370.0,370.0,370.0,370.0,370.0,340.0,355.0,266.5162071839698,300.5600138153258,337.00011399908806,358.75,0.125,0.5,0.25,0.05,0.2,0.0,240000.0,False
reboot_C|noop|reboot_D|reboot_B|reboot_A|reboot_C,241.25,390.0,390.0,390.0,390.0,390.0,390.0,390.0,320.0,355.0,260.7279534645842,291.7435250308802,334.21055631554947,363.75,0.125,0.375,0.5,0.05,0.07500000000000001,0.2,292500.0,False
reboot_C|noop|reboot_D|reboot_B|reboot_A|reboot_D,241.25,390.0,390.0,390.0,390.0,390.0,390.0,390.0,370.0,380.0,269.0490211385346,308.46289006802175,353.49008207934344,382.5,0.125,0.5,0.25,0.05,0.2,0.0,240000.0,False
reboot_C|noop|reboot_D|reboot_B|reboot_B|noop,304.0,469.0,469.0,469.00000000000006,469.0,469.00000000000006,469.0,469.00000000000006,434.0,451.5,340.8553073418325,388.77048081900784,435.0220018239855,455.87500000000006,0.5,0.75,0.75,0.425,0.45,0.45,1480000.0,False
reboot_C|noop|reboot_D|reboot_B|reboot_B|reboot_A,281.875,440.0,440.0,440.0,440.0,440.0,440.0,440.0,405.0,422.5,314.78399169119575,358.74181208878764,403.87368901048796,426.875,0.5,0.75,0.375,0.425,0.45,0.07500000000000001,1217500.0,False
reboot_C|noop|reboot_D|reboot_B|reboot_B|reboot_B,310.0,475.0,475.0,475.0,475.0,475.0,475.0,475.0,440.0,457.5,346.85530734183243,394.7704808190079,441.0220018239855,461.875,0.5,0.75,0.75,0.425,0.45,0.45,1480000.0,False
reboot_C|noop|reboot_D|reboot_B|reboot_B|reboot_C,281.875,440.0,440.0,440.0,440.0,440.0,440.0,440.0,405.0,422.5,314.78399169119575,358.74181208878764,403.87368901048796,426.875,0.5,0.75,0.375,0.425,0.45,0.07500000000000001,1217500.0,False
reboot_C|noop|reboot_D|reboot_B|reboot_B|reboot_D,292.5,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,328.2802546426242,374.8854431332627,418.5225718194255,440.0,0.5,0.75,0.75,0.425,0.45,0.45,1480000.0,False
reboot_C|noop|reboot_D|reboot_B|reboot_C|noop,267.75,434.0,434.0,434.0,434.0,434.00000000000006,434.0,434.00000000000006,419.0,426.5,293.2480921321621,332.49185431076194,384.13565891472877,428.37500000000006,0.375,0.625,0.625,0.3,0.325,0.325,1055000.0,False
reboot_C|noop|reboot_D|reboot_B|reboot_C|reboot_A,241.25,390.0,390.0,390.0,390.0,390.0,390.0,390.0,355.0,372.5,261.14921892933637,293.3356364769659,338.61947104423166,376.875,0.125,0.25,0.5,0.05,0.0,0.2,240000.0,False
reboot_C|noop|reboot_D|reboot_B|reboot_C|reboot_B,241.25,405.0,405.0,405.0,405.0,405.0,405.0,405.0,340.0,372.5,267.3295769828686,303.86243246672444,348.17202462380305,380.625,0.125,0.5,0.25,0.05,0.2,0.0,240000.0,False
reboot_C|noop|reboot_D|reboot_B|reboot_C|reboot_C,273.75,440.0,440.0,440.0,440.0,440.0,440.0,440.0,425.0,432.5,299.2480921321621,338.49185431076194,390.1356589147287,434.375,0.375,0.625,0.625,0.3,0.325,0.325,1055000.0,False
reboot_C|noop|reboot_D|reboot_B|reboot_C|reboot_D,241.25,405.0,405.0,405.0,405.0,405.0,405.0,405.0,390.0,397.5,269.63833131792103,310.7879903163844,360.7974236206111,399.375,0.125,0.5,0.25,0.05,0.2,0.0,240000.0,False
reboot_C|noop|reboot_D|reboot_B|reboot_D|noop,265.25,469.0,469.0,469.00000000000006,469.0,469.00000000000006,469.0,469.00000000000006,434.0,451.5,308.8294158554834,368.36770163730336,427.55107159142733,455.87500000000006,0.375,0.625,0.625,0.3,0.325,0.325,1055000.0,False
reboot_C|noop|reboot_D|reboot_B|reboot_D|reboot_A,243.125,440.0,440.0,440.0,440.0,440.0,440.0,440.0,370.0,405.0,280.79688859006177,332.7905936255049,387.1460328317374,413.75,0.125,0.625,0.25,0.05,0.325,0.0,327500.0,False
reboot_C|noop|reboot_D|reboot_B|reboot_D|reboot_B,253.75,440.0,440.0,440.0,440.0,440.0,440.0,440.0,405.0,422.5,294.1039066188011,348.94903786203395,402.1340629274967,426.875,0.125,0.625,0.625,0.05,0.325,0.325,555000.0,False
reboot_C|noop|reboot_D|reboot_B|reboot_D|reboot_C,243.125,440.0,440.0,440.0,440.0,440.0,440.0,440.0,405.0,422.5,281.2181540548139,334.38270507159064,391.5549475604196,426.875,0.125,0.625,0.25,0.05,0.325,0.0,327500.0,False
reboot_C|noop|reboot_D|reboot_B|reboot_D|reboot_D,271.25,475.0,475.0,475.0,475.0,475.0,475.0,475.0,440.0,457.5,314.8294158554834,374.3677016373033,433.5510715914272,461.875,0.375,0.625,0.625,0.3,0.325,0.325,1055000.0,False
reboot_C|noop|reboot_D|reboot_C|noop|noop,311.75,533.0,533.0,533.0,533.0,533.0,533.0,533.0,498.0,515.5,348.26746971147304,401.297391937033,467.16381668946656,519.875,0.5,0.75,1.0,0.425,0.45,0.7,1655000.0,False
