budgets_json,csv,det_event_usage_json,det_feasible_count,det_objective,det_seq,det_status,det_violation,instance,lp_event_usage_json,lp_message,lp_minus_det,lp_objective,lp_status,lp_support_size,lp_top_support_json,num_sequences,objective_column
"{""prob_catastrophic"": 0.15, ""prob_degraded"": 0.35, ""prob_shortage"": 0.35}",results_public/rocksample_transfer_hard_H5_all_sequences.csv,"{""prob_catastrophic"": 0.25, ""prob_degraded"": 0.25, ""prob_shortage"": 0.0}",0,292.5,move|move|move|sample_r1|sample_r2,infeasible_least_violation,0.1,rocksample_transfer_hard_H5,"{""prob_catastrophic"": 0.15000000000000002, ""prob_degraded"": 0.35, ""prob_shortage"": 0.0}",,,239.5,feasible,2,"[[0.6000000000000001, ""sample_r1|sample_r2|move|move|move"", 292.5], [0.3999999999999999, ""sample_r1|move|move|move|move"", 160.0]]",3125,mean
"{""prob_catastrophic"": 0.0, ""prob_degraded"": 0.0}",results_public/rocksample_transfer_stress_unobservable_H3_all_sequences.csv,"{""prob_catastrophic"": 0.0, ""prob_degraded"": 0.5}",0,150.0,move|move|sample_r1,infeasible_least_violation,0.5,rocksample_transfer_stress_unobservable_H3,,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,infeasible_or_failed,,,125,mean
"{""prob_catastrophic"": 0.075, ""prob_degraded"": 0.3, ""prob_shortage"": 0.3}",results_public/sysadmin_transfer_hard_H6_all_sequences.csv,"{""prob_catastrophic"": 0.0, ""prob_degraded"": 0.25, ""prob_shortage"": 0.25}",616,161.0,reboot_A|reboot_B|reboot_D|reboot_A|reboot_D|reboot_A,feasible,0.0,sysadmin_transfer_hard_H6,"{""prob_catastrophic"": 0.0, ""prob_degraded"": 0.25, ""prob_shortage"": 0.25}",,0.0,161.0,feasible,1,"[[1.0, ""reboot_D|reboot_C|reboot_A|reboot_D|reboot_A|reboot_D"", 161.0]]",15625,mean
"{""prob_catastrophic"": 0.0, ""prob_degraded"": 0.0, ""prob_shortage"": 0.0}",results_public/sysadmin_transfer_stress_unobservable_H3_all_sequences.csv,"{""prob_catastrophic"": 0.0, ""prob_degraded"": 0.5, ""prob_shortage"": 0.0}",0,32.0,reboot_A|reboot_C|noop,infeasible_least_violation,0.5,sysadmin_transfer_stress_unobservable_H3,,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,infeasible_or_failed,,,125,mean
"{""prob_catastrophic"": 0.2, ""prob_degraded"": 0.45}",results_public/tiger_transfer_hard_H4_all_sequences.csv,"{""prob_catastrophic"": 0.5, ""prob_degraded"": 0.5}",0,540.0,open_left|open_left|open_left|open_left,infeasible_least_violation,0.35,tiger_transfer_hard_H4,,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,infeasible_or_failed,,,256,mean
"{""prob_catastrophic"": 0.0, ""prob_degraded"": 0.0}",results_public/tiger_transfer_stress_unobservable_H2_all_sequences.csv,"{""prob_catastrophic"": 0.0, ""prob_degraded"": 1.0}",0,120.0,listen|listen,infeasible_least_violation,1.0,tiger_transfer_stress_unobservable_H2,,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,infeasible_or_failed,,,16,mean
