budgets_json,csv,det_event_usage_json,det_feasible_count,det_objective,det_seq,det_status,det_violation,instance,lp_event_usage_json,lp_message,lp_minus_det,lp_objective,lp_status,lp_support_size,lp_top_support_json,num_sequences,objective_column
"{""prob_catastrophic"": 0.13, ""prob_moderate_harm"": 0.82, ""prob_toxicity"": 0.34}",results/bcst_hard_all_sequences.csv,"{""prob_catastrophic"": 0.016632, ""prob_moderate_harm"": 0.24361152000000003, ""prob_toxicity"": 0.24000000000000002}",89,828.34425104,standard|standard|standard|standard,feasible,0.0,bcst_hard,"{""prob_catastrophic"": 0.016632, ""prob_moderate_harm"": 0.24361152000000003, ""prob_toxicity"": 0.24000000000000002}",,0.0,828.34425104,feasible,1,"[[1.0, ""standard|standard|standard|standard"", 828.34425104]]",256,mean
"{""prob_catastrophic"": 0.0, ""prob_toxicity"": 0.0}",results/bcst_stress_unobservable_all_sequences.csv,"{""prob_catastrophic"": 0.0, ""prob_toxicity"": 1.0}",0,2094.0,whole_region|whole_region,infeasible_least_violation,1.0,bcst_stress_unobservable,,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,infeasible_or_failed,,,16,mean
"{""prob_catastrophic"": 0.075, ""prob_degraded"": 0.3, ""prob_rejected"": 0.36}",results/bfsp_hard_all_sequences.csv,"{""prob_catastrophic"": 0.016632, ""prob_degraded"": 0.24000000000000002, ""prob_rejected"": 0.24361152000000003}",71,390.1792630400001,scheduled_heat|scheduled_heat|scheduled_heat|scheduled_heat,feasible,0.0,bfsp_hard,"{""prob_catastrophic"": 0.012368842105263162, ""prob_degraded"": 0.3, ""prob_rejected"": 0.30231552}",,-1.7265900287081308,388.45267301129195,feasible,2,"[[0.641148325358852, ""scheduled_heat|scheduled_heat|scheduled_heat|scheduled_heat"", 390.1792630400001], [0.35885167464114803, ""scheduled_heat|scheduled_heat|scheduled_heat|extra_heat"", 385.36783216000003]]",256,mean
"{""prob_catastrophic"": 0.0, ""prob_degraded"": 0.0}",results/bfsp_stress_unobservable_all_sequences.csv,"{""prob_catastrophic"": 0.0, ""prob_degraded"": 1.0}",0,754.0,overprocess|overprocess,infeasible_least_violation,1.0,bfsp_stress_unobservable,,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,infeasible_or_failed,,,16,mean
"{""prob_catastrophic"": 0.22, ""prob_immune"": 0.22, ""prob_no_benefit"": 0.24, ""prob_offtarget"": 0.24}",results/bged_hard_all_sequences.csv,"{""prob_catastrophic"": 0.0, ""prob_immune"": 0.0, ""prob_no_benefit"": 0.055128, ""prob_offtarget"": 0.0}",5,388.047867328,low_vector|low_vector|low_vector|targeted_vector,feasible,0.0,bged_hard,"{""prob_catastrophic"": 0.0, ""prob_immune"": 0.0, ""prob_no_benefit"": 0.055128, ""prob_offtarget"": 0.0}",,0.0,388.047867328,feasible,1,"[[1.0, ""targeted_vector|low_vector|low_vector|low_vector"", 388.047867328]]",256,mean
"{""prob_catastrophic"": 0.0, ""prob_immune"": 0.0, ""prob_offtarget"": 0.0}",results/bged_stress_unobservable_all_sequences.csv,"{""prob_catastrophic"": 1.0, ""prob_immune"": 0.0, ""prob_offtarget"": 0.0}",0,11134.0,vector_A|vector_B,infeasible_least_violation,1.0,bged_stress_unobservable,,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,infeasible_or_failed,,,16,mean
"{""prob_catastrophic"": 0.075, ""prob_degraded"": 0.3, ""prob_rejected"": 0.36, ""prob_shortage"": 0.36}",results/bsp_hard_all_sequences.csv,"{""prob_catastrophic"": 0.004752, ""prob_degraded"": 0.24000000000000002, ""prob_rejected"": 0.24361152000000003, ""prob_shortage"": 0.24361152000000003}",75,335.56808483200007,standard|standard|standard|strong,feasible,0.0,bsp_hard,"{""prob_catastrophic"": 0.004752, ""prob_degraded"": 0.24000000000000002, ""prob_rejected"": 0.24361152000000003, ""prob_shortage"": 0.24361152000000003}",,0.0,335.56808483200007,feasible,1,"[[1.0, ""strong|standard|standard|standard"", 335.56808483200007]]",256,mean
"{""prob_catastrophic"": 0.0, ""prob_degraded"": 0.0, ""prob_shortage"": 0.0}",results/bsp_stress_unobservable_all_sequences.csv,"{""prob_catastrophic"": 0.5, ""prob_degraded"": 0.5, ""prob_shortage"": 0.5}",0,4979.0,cycle_A|cycle_A,infeasible_least_violation,1.5,bsp_stress_unobservable,,The problem is infeasible. (HiGHS Status 8: model_status is Infeasible; primal_status is None),,,infeasible_or_failed,,,16,mean
