instance,governed_mean_loss,oracle_mean_loss,blind_tax_ratio,governed_feasible,oracle_feasible,governed_catastrophic,oracle_catastrophic
bged_stress_unobservable,11134.0,29.0,383.9310344827586,,True,,
bsp_stress_unobservable,4979.0,29.0,171.68965517241378,,True,,
bcst_stress_unobservable,2094.0,29.0,72.20689655172414,,True,,
bfsp_stress_unobservable,754.0,29.0,26.0,,True,,
bfsp_easy,225.55511584000004,25.752846557337605,8.758453763074746,,True,,
bged_stress_impossible,9053.0,1142.5,7.923851203501094,,False,,
bsp_easy,220.39340998400002,32.72712497231361,6.7342734863037235,,True,,
bfsp_hard,390.1792630400001,63.98937903974401,6.097562890830031,,True,,
bcst_easy,388.543883072,84.08187314529282,4.621018401916419,,True,,
bcst_hard,828.34425104,183.53767586240002,4.513210964167476,,True,,
bsp_hard,335.56808483200007,74.51888728640003,4.503127959255538,,True,,
bcst_stress_impossible,2914.0,877.5,3.320797720797721,,False,,
bged_hard,388.047867328,195.676761182208,1.9831065527840688,,True,,
bsp_stress_impossible,1754.0,965.5,1.8166752977731746,,False,,
bfsp_stress_impossible,1774.0,1064.5,1.666510098637858,,False,,
bged_easy,147.18388256000003,91.75142331863039,1.6041591207677093,,True,,
